"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"13471-8","Кадмій/Креатинін","Масове Співвідношення","МоментЧасу","Сеча","Кількісно","","Наркотична токсикологія","Кадмій/Креатинін Сеча","Кадмій/Креатинін [Масове Співвідношення] у Сечі","CD; CR; Crea; Creat; DRUG/TOXICOLOGY; Drugs; Mass concentration ratio; Mass ratio; MCRto; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UCr; UR; Urn","Кадмій/Креатинін (Сеча) [МасСпвд]"
"13545-9","Альпразолам","Наявність або Поріг","МоментЧасу","Сироватка/Плазма","Порядково","","Наркотична токсикологія","Альпразолам СвткПлаз Пор","Альпразолам [Наявність] у сироватці чи плазмі","DRUG/TOXICOLOGY; Drugs; Niravam; Ordinal; Pl; Plasma; Plsm; Point in time; PR; QL; Qual; Qualitative; Random; Screen; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Xanax","Альпразолам Пор"
"13298-5","HLA-A","Тип","МоментЧасу","Кров/Тканини","Категорійно","","HLA антигени","HLA-A","HLA-A [Тип]","Blood; Genetics; Heredity; Heritable; HLA ANTIGEN; Human Leukocyte Antigen; Inherited; Nominal; Point in time; Random; Tissue; Tissue, unspecified; Typ; WB; Whole blood; Whole blood or Tissue","HLA-A Кат (Кров/Ткн)"
"13302-5","HLA-C","Тип","МоментЧасу","Кров/Тканини","Категорійно","","HLA антигени","HLA-C","HLA-C [Тип]","Blood; Genetics; Heredity; Heritable; HLA ANTIGEN; Human Leukocyte Antigen; Inherited; Nominal; Point in time; Random; Tissue; Tissue, unspecified; Typ; WB; Whole blood; Whole blood or Tissue","HLA-C Кат (Кров/Ткн)"
"12443-8","Триміпрамін","Масова Концентрація","МоментЧасу","Сеча","Кількісно","","Наркотична токсикологія","Триміпрамін Сеча-МасКнц","Триміпрамін [Маса/об'єм] у сечі","Addiction; Cotrimazine; DRUG/TOXICOLOGY; Drugs; Drugs of abuse; Illicit; Level; Mass concentration; Point in time; PotentialForAbuse; QNT; Quan; Quant; Quantitative; Random; Surmontil; TMP; UA; UR; Urn","Триміпрамін (Сеча) [Маса/об'єм]"
"12785-2","Дигідрокодеїн.вільний","Масова Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Наркотична токсикологія","Дигідрокодеїн Вільний СвткПлаз-МасКнц","Дигідрокодеїн Вільний [Маса/об'єм] у Сироватці чи Плазмі","DF-118; DHC; DHC Free; DHCPlus; Drocode; DRUG/TOXICOLOGY; Drugs; FR; Level; Mass concentration; Non-protein bound; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR","Дигідрокодеїн Вільний [Маса/об'єм]"
"12839-7","Простагландин D2","Масова Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Хімія","Простагландин D2 СвткПлаз-МасКнц","Простагландин D2 [Маса/об'єм] у Сироватці чи Плазмі","Chemistry; Level; Mass concentration; PG; PGD2; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR","Простагландин D2 [Маса/об'єм]"
"13203-5","Borrelia burgdorferi Антитіла.IgМ","Наявність або Поріг","МоментЧасу","Спинномозкова рідина","Порядково","Імуноблот","Мікробіологія","Borrelia burgdorferi IgМ СМР Пор ІB","Borrelia burgdorferi IgМ Антитіла [Наявність] у спинномозковій рідині методом Імуноблоту","ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; B burg; B burgdor; B burgdorferi; Bb; Blt; Burgdorf; Cerebral spinal fluid; Cerebrospinal Fl; ID; IMMUNE BLOT; Immune globulin M; Immunobl; Immunoblot; Immunoglobulin M; Infectious Disease; InfectiousDisease; Lyme; Lyme disease; Lymes; Microbiology; Neuro; Neurology; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; RIBA; Screen; Spinal Fl; Spinal Fld; Spinal Flu; Spinal Fluid; WB; WBLOT; West blot; West blt; Western blot","Borrelia burgdorferi IgМ ІB Пор (СМР)"
"13267-0","Вірус паротиту, Антитіла.IgM","Довільна Концентрація","МоментЧасу","Спинномозкова рідина","Кількісно","","Мікробіологія","Вірус паротиту IgM СМР-ДовКонц","Вірус паротиту IgM Антитіла [Кількість/об'єм] у спинномозковій рідині","ABS; Aby; Antby; Anti; Antibodies; Antibody; Arbitrary concentration; Autoantibodies; Autoantibody; Cerebral spinal fluid; Cerebrospinal Fl; ID; Immune globulin M; Immunoglobulin M; Infectious Disease; InfectiousDisease; Microbiology; MuV; Neuro; Neurology; Point in time; QNT; Quan; Quant; Quantitative; Random; Spinal Fl; Spinal Fld; Spinal Flu; Spinal Fluid","Вірус паротиту IgM Кільк (СМР)"
"13076-5","Фосфатидилетаноламін Антитіла.IgG","Довільна Концентрація","МоментЧасу","Сироватка","Кількісно","","Коагулометрія","Фосфатидилетаноламін IgG Свтк-ДовКонц","Фосфатидилетаноламін IgG Антитіла [Кількість/об'єм] у Сироватці","ABS; Aby; Antby; Anti; Antibodies; Antibody; aPE; Arbitrary concentration; Autoantibodies; Autoantibody; COAGULATION; Hematology; Heme; Immune globulin G; Immunoglobulin G; PE; Phosphatidyl ethanolamine; Point in time; QNT; Quan; Quant; Quantitative; Random; Serum; SR","Фосфатидилетаноламін IgG Кільк (Свтк)"
"13202-7","Borrelia burgdorferi Антитіла.IgG","Наявність або Поріг","МоментЧасу","Спинномозкова рідина","Порядково","Імуноблот","Мікробіологія","Borrelia burgdorferi IgG СМР Пор ІB","Borrelia burgdorferi IgG Антитіла [Наявність] у спинномозковій рідині методом Імуноблоту","ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; B burg; B burgdor; B burgdorferi; Bb; Blt; Burgdorf; Cerebral spinal fluid; Cerebrospinal Fl; ID; IMMUNE BLOT; Immune globulin G; Immunobl; Immunoblot; Immunoglobulin G; Infectious Disease; InfectiousDisease; Lyme; Lyme disease; Lymes; Microbiology; Neuro; Neurology; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; RIBA; Screen; Spinal Fl; Spinal Fld; Spinal Flu; Spinal Fluid; WB; WBLOT; West blot; West blt; Western blot","Borrelia burgdorferi IgG ІB Пор (СМР)"
"13266-2","Вірус паротиту, Антитіла.IgG","Довільна Концентрація","МоментЧасу","Спинномозкова рідина","Кількісно","","Мікробіологія","Вірус паротиту IgG СМР-ДовКонц","Вірус паротиту IgG Антитіла [Кількість/об'єм] у спинномозковій рідині","ABS; Aby; Antby; Anti; Antibodies; Antibody; Arbitrary concentration; Autoantibodies; Autoantibody; Cerebral spinal fluid; Cerebrospinal Fl; ID; Immune globulin G; Immunoglobulin G; Infectious Disease; InfectiousDisease; Microbiology; MuV; Neuro; Neurology; Point in time; QNT; Quan; Quant; Quantitative; Random; Spinal Fl; Spinal Fld; Spinal Flu; Spinal Fluid","Вірус паротиту IgG Кільк (СМР)"
"12914-8","Бета-N-ацетилгексозамінідаза.А/Бета-N-ацетилгексозамінідаза.загальна","Каталітична фракція","МоментЧасу","Сироватка/Плазма","Кількісно","","Хімія","Гексозамінідаза А КатФр СвткПлаз","Бета-N-ацетилгексозамінідаза.А/Бета-N-ацетилгексозамінідаза.загальна у Сироватці чи Плазмі","B; Beta-hexosaminidase subunit alpha; B-NAH; Catalytic Fraction; Chemistry; GM2 Gangliosidoses; GM2-gangliosidosis; Hex A; Hex B; HEXA; Hexosaminidase; Hexosaminidase A; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; Sandhoff disease; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tay Sachs Disease; Tot; Totl","Бета-N-ацетилгексозамінідаза.А/Бета-N-ацетилгексозамінідаза.загальна [КатФр]"
"12967-6","Азот сечовини","Масова Концентрація","24год","Сеча","Кількісно","","Хімія","Азот сечовини 24год Сеча-МасКнц","Азот сечовини [Маса/об'єм] у добовій сечі","1 day; 24 hours; 24HR; Blood urea nitrogen; Chemistry; Kidney; Level; Mass concentration; N; N2; Nephrology; Nit; QNT; Quan; Quant; Quantitative; Renal; UA; UN; UR; Urn; UUN","Азот сечовини (24год Сеча) [Маса/об'єм]"
"14249-7","Клітини Пуркіньє Антитіла","Наявність або Поріг","МоментЧасу","Сироватка","Порядково","Імунофлуоресценція","Серологія","Клітини Пуркіньє Антитіла Свтк Пор IF","Клітини Пуркіньє Антитіла [Наявність] у Сироватці методом Імунофлуоресценції","ABS; Aby; ACIF; Antby; Anti; Antibodies; Antibody; Anticomplement Immunofluorescence; Autoantibodies; Autoantibody; Cell; Cellularity; FA; Fluorescent antibody; Fluoresent; IFA; Immune fluorescence; Immunoflour; Immunofluor; Immunofluorescence; Neuro; Neurology; Oncology; Ordinal; Paraneoplastic syndrome; PCA; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Serology; Serum; SR; Time Resolved Fluorescence; TRF; Yo autoantibody","Клітини Пуркіньє Антитіла IF Пор (Свтк)"
"14267-9","Метилендіоксиметамфетамін","Наявність або Поріг","МоментЧасу","Сеча","Порядково","","Наркотична токсикологія","Метилендіоксиметамфетамін Сеча Пор","Метилендіоксиметамфетамін [Наявність] у сечі","Addiction; DRUG/TOXICOLOGY; Drugs; Drugs of abuse; Ecstasy; Illicit; MDMA; Ordinal; Point in time; PotentialForAbuse; PR; QL; Qual; Qualitative; Random; Screen; UA; UR; Urn","Метилендіоксиметамфетамін Пор (Сеча)"
"13037-7","C пептид^після CFst (швидко калорії)","Масова Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Челендж-Тести","C пептид натще СвткПлаз-МасКнц","C пептид [Маса/об'єм] у Сироватці чи Плазмі --натще","After; Calorie Fast; CHEMISTRY.CHALLENGE TESTING; Connecting peptide of insulin; Fast; Fasting; Level; Mass concentration; p fast; PC; Pept; Pl; Plasma; Plsm; Point in time; Pro-insulin c peptide; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR","C пептид після швидко калорії [Маса/об'єм]"
"12598-9","Жир.нейтральний","Наявність або Поріг","МоментЧасу","Кал","Порядково","","Хімія","Нейтральний Жир Кал Пор","Жир.нейтральний [Наявність] у Калі","Acylglycerol; Bowel movement; Chemistry; Faecal; Faeces; Fecal; Feces; Neutral Fat; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Stl; Stool = Fecal; UniversalLabOrders","Жир.нейтральний Пор (Кал)"
"13283-7","Вірус Кору, Антитіла.IgM","Довільна Концентрація","МоментЧасу","Спинномозкова рідина","Кількісно","","Мікробіологія","Вірус Кору IgM СМР-ДовКонц","Вірус Кору Антитіла IgM [Кількість/об'єм] у спинномозковій рідині","ABS; Aby; Antby; Anti; Antibodies; Antibody; Arbitrary concentration; Autoantibodies; Autoantibody; Cerebral spinal fluid; Cerebrospinal Fl; ID; Immune globulin M; Immunoglobulin M; Infectious Disease; InfectiousDisease; MeV; Microbiology; Msls; Neuro; Neurology; Point in time; QNT; Quan; Quant; Quantitative; Random; Rubeola; Spinal Fl; Spinal Fld; Spinal Flu; Spinal Fluid","Вірус Кору IgM Кільк (СМР)"
"13176-3","Яд Оси Антитіла. IgE","Довільна Концентрація","МоментЧасу","Сироватка","Кількісно","","Алергія","Яд Оси IgE Кільк","Яд оси IgE Антитіла [Кількість/об'єм] у Сироватці","ABS; Aby; Allergen; Allergens; ALLERGY TESTING; Antby; Anti; Antibodies; Antibody; Arbitrary concentration; Autoantibodies; Autoantibody; Immune globulin E; Immunoglobulin E; Point in time; QNT; Quan; Quant; Quantitative; Random; Serum; SR","Яд Оси IgE Кільк (Свтк)"
"13457-7","Холестерин.ЛПНЩ","Масова Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","Розрахунок","Хімія","Холестерин ЛПНЩ Розр-МасКнц","Холестерин у ЛПНЩ [Маса/об'єм] у сироватці чи плазмі розрахунковим методом","Calc; Calculation; Cardio; Cardiology; Chemistry; Chol; Choles; Cholest; Cholesterol total; Cholesterols; Heart Disease; LDLc; LDL-C; Level; Lipid; Low density lipoprotein cholesterol; Low density lipoprotein cholesterols; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR","Холестерин у ЛПНЩ Розр [Маса/об'єм]"
"13464-3","Хром/Креатинін","Масове Співвідношення","МоментЧасу","Сеча","Кількісно","","Наркотична токсикологія","Хром/Креатинін Сеча","Хром/Креатинін [Масове Співвідношення] у Сечі","c609; CR; Crea; Creat; DRUG/TOXICOLOGY; Drugs; Mass concentration ratio; Mass ratio; MCRto; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UCr; UR; Urn","Хром/Креатинін (Сеча) [МасСпвд]"
"13473-4","Цинк/Креатинін","Масове Співвідношення","МоментЧасу","Сеча","Кількісно","","Наркотична токсикологія","Цинк/Креатинін Сеча","Цинк/Креатинін [Масове Співвідношення] у Сечі","CR; Crea; Creat; DRUG/TOXICOLOGY; Drugs; Mass concentration ratio; Mass ratio; MCRto; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UCr; UR; Urn; Zn","Цинк/Креатинін (Сеча) [МасСпвд]"
"12782-9","Білкові фракції.олігоклональні смуги","Інтерпретація","МоментЧасу","Спинномозкова рідина","Категорійно","Електрофорез","Хімія","Олігоклональні смуги СМР ЕлекФорез-Інтерпр","Олігоклональні смуги [Інтерпретація] у спинномозковій рідині методом електрофорезу","Cerebral spinal fluid; Cerebrospinal Fl; Chemistry; Elec; Elect; Electr; Electro; Electrophhrs; Electrophrs; Elp; Elph; Ep; Frac; Fract; Fraction; Fractionated; Fractionation; Impression; Impression/interpretation of study; Impressions; Interp; Interpretation; M-spikes; Neuro; Neurology; Nominal; Point in time; PR; Prot; Random; Spinal Fl; Spinal Fld; Spinal Flu; Spinal Fluid","Олігоклональні смуги ЕлекФорез (СМР) [Інтерпр]"
"12838-9","Простагландин D2","Масова Концентрація","МоментЧасу","Сеча","Кількісно","","Хімія","Простагландин D2 Сеча-МасКнц","Простагландин D2 [Маса/об'єм] у сечі","Chemistry; Level; Mass concentration; PG; PGD2; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UR; Urn","Простагландин D2 (Сеча) [Маса/об'єм]"
"12916-3","Порфобіліноген синтаза","Каталітична Концентрація","МоментЧасу","Кров","Кількісно","","Хімія","Порфобіліноген синтаза Кров-КатКнц","Порфобіліноген синтаза [Каталітична активність/обє'м] у Крові","ALA dehydratase; Blood; Catalytic Concentration; Chemistry; Hematology; Heme; PBG; PBG Synthase; Point in time; Porph; Porphobili; Porphoblngn; Porpoblngn; QNT; Quan; Quant; Quantitative; Random; WB; Whole blood","Порфобіліноген синтаза (Кров) [Каталітична активність/об'єм]"
"12983-3","Леткі речовини","Наявність або Ідентифікація","МоментЧасу","Сеча","Категорійно","","Наркотична токсикологія","Леткі речовини Сеча","Леткі речовини [Наявність або Ідентифікація] у Сечі","Addiction; DRUG/TOXICOLOGY; Drugs; Drugs of abuse; Identity or presence; Illicit; Nominal; Point in time; PotentialForAbuse; Random; UA; UR; Urn; Volatile","Леткі речовини Кат (Сеча)"
"13074-0","Фосфатидилхолін Антитіла.IgM","Довільна Концентрація","МоментЧасу","Сироватка","Кількісно","","Коагулометрія","Фосфатидилхолін IgM Свтк-ДовКонц","Фосфатидилхолін IgM Антитіла [Кількість/об'єм] у Сироватці","ABS; Aby; Antby; Anti; Antibodies; Antibody; APC; Arbitrary concentration; Autoantibodies; Autoantibody; COAGULATION; Hematology; Heme; Immune globulin M; Immunoglobulin M; Neonatal respiratory distress syndrome; PC; Phosphatidyl choline; Point in time; PtdCho; QNT; Quan; Quant; Quantitative; Random; Serum; SR","Фосфатидилхолін IgM Кільк (Свтк)"
"13075-7","Фосфатидилхолін Антитіла.IgA","Довільна Концентрація","МоментЧасу","Сироватка","Кількісно","","Коагулометрія","Фосфатидилхолін IgA Свтк-ДовКонц","Фосфатидилхолін IgA Антитіла [Кількість/об'єм] у Сироватці","ABS; Aby; Antby; Anti; Antibodies; Antibody; APC; Arbitrary concentration; Autoantibodies; Autoantibody; COAGULATION; Hematology; Heme; Immune globulin A; Immunoglobulin A; Neonatal respiratory distress syndrome; PC; Phosphatidyl choline; Point in time; PtdCho; QNT; Quan; Quant; Quantitative; Random; Serum; SR","Фосфатидилхолін IgA Кільк (Свтк)"
"13077-3","Фосфатидилетаноламін Антитіла. IgM","Довільна Концентрація","МоментЧасу","Сироватка","Кількісно","","Коагулометрія","Фосфатидилетаноламін IgM Свтк-ДовКонц","Фосфатидилетаноламін IgM Антитіла [Кількість/об'єм] у Сироватці","ABS; Aby; Antby; Anti; Antibodies; Antibody; aPE; Arbitrary concentration; Autoantibodies; Autoantibody; COAGULATION; Hematology; Heme; Immune globulin M; Immunoglobulin M; PE; Phosphatidyl ethanolamine; Point in time; QNT; Quan; Quant; Quantitative; Random; Serum; SR","Фосфатидилетаноламін IgM Кільк (Свтк)"
"13078-1","Фосфатидилетаноламін Антитіла.IgA","Довільна Концентрація","МоментЧасу","Сироватка","Кількісно","","Коагулометрія","Фосфатидилетаноламін IgA Свтк-ДовКонц","Фосфатидилетаноламін IgA Антитіла [Кількість/об'єм] у Сироватці","ABS; Aby; Antby; Anti; Antibodies; Antibody; aPE; Arbitrary concentration; Autoantibodies; Autoantibody; COAGULATION; Hematology; Heme; Immune globulin A; Immunoglobulin A; PE; Phosphatidyl ethanolamine; Point in time; QNT; Quan; Quant; Quantitative; Random; Serum; SR","Фосфатидилетаноламін IgA Кільк (Свтк)"
"13174-8","Інтерпретація","Інтерпретація","МоментЧасу","Спинномозкова рідина","Категорійно","Імунофіксація","Хімія","Інтерпретація СМР ІмунФікс-Інтерпр","Імунофіксація спинномозкової рідини","Cerebral spinal fluid; Cerebrospinal Fl; Chemistry; IFE; Ifix; Immunofixation electrophoresis; Impression; Impression/interpretation of study; Impressions; Interp; Interpret; Interpretation; Interpt; Intrp; Nominal; Point in time; Random; Spinal Fl; Spinal Fld; Spinal Flu; Spinal Fluid","Інтерпретація Імунофіксація (СМР) [Інтерпр]"
"13073-2","Фосфатидилхолін Антитіла.IgG","Довільна Концентрація","МоментЧасу","Сироватка","Кількісно","","Коагулометрія","Фосфатидилхолін IgG Свтк-ДовКонц","Фосфатидилхолін IgG Антитіла [Кількість/об'єм] у Сироватці","ABS; Aby; Antby; Anti; Antibodies; Antibody; APC; Arbitrary concentration; Autoantibodies; Autoantibody; COAGULATION; Hematology; Heme; Immune globulin G; Immunoglobulin G; Neonatal respiratory distress syndrome; PC; Phosphatidyl choline; Point in time; PtdCho; QNT; Quan; Quant; Quantitative; Random; Serum; SR","Фосфатидилхолін IgG Кільк (Свтк)"
"30446-9","Мієлоцити","Чисельна Концентрація","МоментЧасу","Кров","Кількісно","","Гематологія/Підрахунок клітин","Мієлоцити # Крв","Мієлоцити [кількість/об'єм] в Крові","#; ABS; absolute; absolutes; Blood; Cnt; Count; Count/volume; CT; Hematology; HEMATOLOGY/CELL COUNTS; Heme; Myel; Myelo; Myelocyte; Number concentration; Number Concentration (count/vol); Point in time; QNT; Quan; Quant; Quantitative; Random; WB; Whole blood","Мієлоцити (Крв) [#/об'єм]"
"43583-4","Ліпопротеїн а","Молярна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Хімія","ЛПа СирПл-МолКонц","Ліпопротеїн а [Молі/об'єм] в сироватці чи плазмі","Chemistry; Level; Lip; Lipoprot; Lipoproteins; LP; Lp(a); LPa; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration; UniversalLabOrders","Ліпопротеїн а [Молі/об'єм]"
"44447-1","Бета 2 глікопротеїн 1 Aнтитіла.IgA","Довільна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","Імуноаналіз","Коагулометрія","Б2 Глікопрот1 IgA СировПл ІА-ДовКонц","Бета 2 глікопротеїн 1 IgA Aнтитіла [Одиниці/об'єм] в Сироватці або Плазмі методом Імуноаналізу","ABS; Aby; Antby; Anti; Antibodies; Antibody; APOH; Apolipoprotein H; Arbitrary concentration; Autoantibodies; Autoantibody; B; B2 Glycoprot1; B2 glycoprotein 1; B2GPI; B2-GPI; COAGULATION; EIA; ELFA; ELISA; Enzyme immunoassay; gG; Glycoprot; Glycoproteins; GP; Hematology; Heme; i; IAA; II; Immune globulin A; Immunoglobulin A; MEIA; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; SUDS; UniversalLabOrders","Бета 2 глікопротеїн 1 IgA ІА Кількісно"
"12853-8","Клітини Пуркіньє Антитіла","Наявність або Поріг","МоментЧасу","Сироватка","Порядково","Імуноблот","Серологія","Клітини Пуркіньє Антитіла Свтк Пор ІB","Клітини Пуркіньє Антитіла [Наявність] у сироватці методом Імуноблоту","ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; Blt; Cell; Cellularity; Immune blot; Immunobl; Immunoblot; Neuro; Neurology; Oncology; Ordinal; Paraneoplastic syndrome; PCA; Point in time; PR; QL; Qual; Qualitative; Random; RIBA; Screen; Serology; Serum; SR; WB; WBLOT; West blot; West blt; Western blot; Yo autoantibody","Клітини Пуркіньє Антитіла ІB Пор (Свтк)"
"12920-5","Сульфат","Масова Концентрація","24год","Сеча","Кількісно","","Хімія","Сульфат 24год Сеча-МасКнц","Сульфат [Маса/об'єм] у добовій Сечі","1 day; 24 hours; 24HR; Chemistry; Kidney; Level; Mass concentration; Nephrology; QNT; Quan; Quant; Quantitative; Renal; SO4; SO4-2; Sulf; UA; UR; Urn","Сульфат (24год Сеча) [Маса/об'єм]"
