"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"2830-8","Potas klirens nerkowy","wskaźnik objętości w jednostce czasu","24 godziny","mocz i surowica lub osocze","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"2862-1","Albumina","stężenie masowe","punkt w czasie","surowica lub osocze","ilościowy","elektroforeza","badania biochemiczne - testy bez obciążenia","","","",""
"28649-2","Tlen","ciśnienie parcjalne","punkt w czasie","krew pępowinowa żylna","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"3044-5","Triglicerydy+estry (cholesterolu) w HDL","stężenie masowe","punkt w czasie","surowica lub osocze","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"30459-2","Średnia średnica płytek krwi","długość zawarta w","punkt w czasie","krew","ilościowy","","morfologia krwi","","","",""
"32345-1","Uroporfiryna","stężenie molowe","punkt w czasie","krwinki czerwone","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"34980-3","Objętość próbki","objętość","punkt w czasie","płyn stawowy","ilościowy","","informacja o próbce","","","",""
"35134-6","Tyreotropina Ab","granica wykrywalności","punkt w czasie","surowica","półilościowy","","serologia niemikrobiologiczna","","","",""
"41651-1","Glukoza","stężenie masowe","punkt w czasie","krew tętnicza","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"41652-9","Glukoza","stężenie masowe","punkt w czasie","krew żylna","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"4561-7","Hemoglobina C/hemoglobina całkowita","frakcja masowa","punkt w czasie","krew","ilościowy","elektroforeza kwaśna (pH=6, 3)","morfologia krwi","","","Hemoglobina C/Hemoglobina całkowita",""
"4564-1","Hemoglobina C-Harlem","granica wykrywalności","punkt w czasie","krew","półilościowy","","morfologia krwi","","","",""
"4566-6","Hemoglobina Chesapeake","granica wykrywalności","punkt w czasie","krew","półilościowy","elektroforeza zasadowa (pH=8, 9)","morfologia krwi","","","",""
"4571-6","Hemoglobina D-Punjab","stężenie w jednostkach umownych","punkt w czasie","krew","ilościowy","elektroforeza zasadowa (pH=8, 9)","morfologia krwi","","","",""
"668-4","Obserwacja mikroskopowa","wykrycie lub identyfikacja","punkt w czasie","XXX","cecha","barwienie M'Fadyeana","MICRO","","","",""
"44349-9","Fenyloalanina/kreatynina","współczynnik masowy","punkt w czasie","mocz","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"44416-6","Azot mocznika/kreatynina","współczynnik masowy","punkt w czasie","mocz","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"44629-4","Rozmiar próbki - maksymalny wymiar","długość","punkt w czasie","guz piersi","ilościowy","","PATH.PROTOCOLS.BRST","","","",""
"47721-6","Fenyloalanina/aminokwasy całkowite","frakcja molowa","punkt w czasie","włos","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"47723-2","Fenyloalanina/aminokwasy całkowite","frakcja molowa","punkt w czasie","płyn owodniowy","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"53278-8","Wałeczki erytrocytarne","granica wykrywalności","punkt w czasie","mocz","półilościowy","metoda wspomagana komputerowo","badanie moczu","","","",""
"53288-7","Wałeczki tłuszczowe","stężenie liczbowe","punkt w czasie","mocz","ilościowy","metoda wspomagana komputerowo","badanie moczu","","","koncentracja",""
"51437-2","Białka monoklonalne, prążek 2","stężenie masowe","punkt w czasie","mocz","ilościowy","elektroforeza","badania biochemiczne - testy bez obciążenia","","","",""
"51438-0","Białka monoklonalne, prążek 2","stężenie masowe","24 godziny","mocz","ilościowy","elektroforeza","badania biochemiczne - testy bez obciążenia","","","",""
"51459-6","Wirus zapalenia wątroby typu E Ab","stężenie w jednostkach umownych","punkt w czasie","surowica","ilościowy","","MICRO","","","Przeciwciała do wirusa zapalenia wątroby typu E",""
"5901-4","Czas protrombinowy","czas","punkt w czasie","osocze ubogopłytkowe^kontrola","ilościowy","test krzepnięcia","krzepnięcie","","","PPP",""
"5903-0","Test z jadem żmii Russela","czas","punkt w czasie","osocze ubogopłytkowe^kontrola","ilościowy","test krzepnięcia","krzepnięcie","","","PPP",""
"5913-9","Hemoglobina F/hemoglobina całkowita","frakcja masowa","punkt w czasie","płyn owodniowy","ilościowy","","morfologia krwi","","","Hemoglobina F/Hemoglobina całkowita",""
"60217-7","Chlorek","stężenie molowe","punkt w czasie","mleko kobiece","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"69561-9","Tyreotropina","stężenie w jednostkach umownych","punkt w czasie","krew pępowinowa","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"69950-4","Hemoglobina","stężenie masowe","punkt w czasie","płyn osierdziowy","ilościowy","","morfologia krwi","","","",""
"59159-4","Albumina/kreatynina","współczynnik","24 godziny","mocz","ilościowy","próg wykrywalności <= 20 mg/L","badania biochemiczne - testy bez obciążenia","","","",""
"59178-4","Chlorek","stężenie molowe","punkt w czasie","sok żołądkowy","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"59185-9","Ciałka inkluzyjne hemoglobiny H","granica wykrywalności","punkt w czasie","krew","półilościowy","","morfologia krwi","","","",""
"74887-1","Stigmastanol","stężenie molowe","punkt w czasie","surowica lub osocze","ilościowy","","badania biochemiczne - testy bez obciążenia","","","Stigmastanol",""
"74896-2","Mleczan","zawartość molowa","punkt w czasie","kał","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"74918-4","Kwasy tłuszczowe","zawartość masowa","24 godziny","kał","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"74979-6","Kwas moczowy","stężenie molowe","punkt w czasie","popłuczyny oskrzelowo-pęcherzykowe","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"75096-8","Kwasy tłuszczowe, o bardzo długich łańcuchach C26:0 (Heksakozanian)","substancja zawarta w","punkt w czasie","krwinki czerwone","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"8841-9","Wysycenie tlenem","frakcja masowa","punkt w czasie","prawy przedsionek serca","ilościowy","","HEMODYN.MOLEC","","","",""
"8849-2","Wysycenie tlenem","frakcja masowa","punkt w czasie","przewód tętniczy","ilościowy","","HEMODYN.MOLEC","","","",""
"8851-8","Wysycenie tlenem","frakcja masowa","punkt w czasie","lewa tętnica płucna","ilościowy","","HEMODYN.MOLEC","","","",""
"8853-4","Wysycenie tlenem","frakcja masowa","punkt w czasie","prawa tętnica płucna","ilościowy","","HEMODYN.MOLEC","","","",""
"86733-3","Parwowirus świński","granica wykrywalności","punkt w czasie","XXX","półilościowy","hodowla specyficzna dla organizmu","MICRO","","","Ludzki parwowirus",""
"935-7","Przeterminowanie jednostki produktu krwiopochodnego","sygnatura czasu","punkt w czasie","^jednostka krwi pełnej","ilościowy","","bank krwi","","","",""
"9377-3","Glukoza^4,5 godz. po 100 g glukozy p. o.","stężenie masowe","punkt w czasie","surowica lub osocze","ilościowy","","badania biochemiczne - test obciążeniowy","","","Glukoza 4,5h po podaniu100 g glukozy doustnie",""
"9406-0","Albumina/globulina","współczynnik masowy","24 godziny","mocz","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"99384-0","Kreatynina","wskaźnik molowy w jednostce czasu","6 godzin","mocz","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
