"RecType","LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS"
"BEFORE","101271-5","MDS v3.0 - RAI v1.18.11 - Swallowing &or Nutritional Status","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101271-5","MDS v3.0 - RAI v1.18.11 - Swallowing &or Nutritional Status","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101272-3","MDS v3.0 - RAI v1.18.11 - Oral &or Dental Status","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101272-3","MDS v3.0 - RAI v1.18.11 - Oral &or Dental Status","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101273-1","MDS v3.0 - RAI v1.18.11 - Skin Conditions","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.ACT"
"CHANGED","101273-1","MDS v3.0 - RAI v1.18.11 - Skin Conditions","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.ACT"
"BEFORE","101274-9","MDS v3.0 - RAI v1.18.11 - Medications","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101274-9","MDS v3.0 - RAI v1.18.11 - Medications","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101275-6","MDS v3.0 - RAI v1.18.11 - Header - Special Treatments, Procedures, and Programs","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101275-6","MDS v3.0 - RAI v1.18.11 - Header - Special Treatments, Procedures, and Programs","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101276-4","MDS v3.0 - RAI v1.18.11 - Restraints and Alarms","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101276-4","MDS v3.0 - RAI v1.18.11 - Restraints and Alarms","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101277-2","MDS v3.0 - RAI v1.18.11 - Participation in Assessment and Goal Setting","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101277-2","MDS v3.0 - RAI v1.18.11 - Participation in Assessment and Goal Setting","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101278-0","MDS v3.0 - RAI v1.18.11 - Care Area Assessment (CAA) Summary","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.ACT"
"CHANGED","101278-0","MDS v3.0 - RAI v1.18.11 - Care Area Assessment (CAA) Summary","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.ACT"
"BEFORE","101279-8","MDS v3.0 - RAI v1.18.11 - Correction Request","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101279-8","MDS v3.0 - RAI v1.18.11 - Correction Request","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101280-6","MDS v3.0 - RAI v1.18.11 - Assessment Administration","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101280-6","MDS v3.0 - RAI v1.18.11 - Assessment Administration","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101325-9","Tub &or shower transfer - functional goal","Find","Pt","^Patient","Ord","CMS Assessment","SURVEY.CMS"
"CHANGED","101325-9","Tub &or shower transfer - functional goal","Find","RptPeriod","^Patient","Ord","CMS Assessment","SURVEY.CMS"
"BEFORE","101329-1","Participation in assessment and goal setting","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.ACT"
"CHANGED","101329-1","Participation in assessment and goal setting","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.ACT"
"BEFORE","101332-5","Reason referral to local contact agency not made","Find","Pt","^Patient","Nom","CMS Assessment","SURVEY.AAOS"
"CHANGED","101332-5","Reason referral to local contact agency not made","Find","RptPeriod","^Patient","Nom","CMS Assessment","SURVEY.AAOS"
"BEFORE","101333-3","Determination of pressure injury risk","Find","Pt","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"CHANGED","101333-3","Determination of pressure injury risk","Find","RptPeriod","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"BEFORE","101346-5","MDS v3.0 - RAI v1.18.11 - Special Treatments, Procedures, and Programs","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101346-5","MDS v3.0 - RAI v1.18.11 - Special Treatments, Procedures, and Programs","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101347-3","Return to Community","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101347-3","Return to Community","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101351-5","Has lack of transportation kept you from medical appointments, meetings, work, or from getting things needed for daily living","Find","Pt","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"CHANGED","101351-5","Has lack of transportation kept you from medical appointments, meetings, work, or from getting things needed for daily living","Find","RptPeriod","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"BEFORE","101435-6","Referral","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101435-6","Referral","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101436-4","Discharge Plan","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101436-4","Discharge Plan","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101542-9","Bacterial versus viral etiology indicator panel","-","Pt","Ser/Plas","-","","PANEL.CHEM"
"CHANGED","101542-9","Bacterial versus viral etiology indicator panel","-","Pt","Ser/Plas/Bld","-","","PANEL.CHEM"
"BEFORE","101543-7","Tumor necrosis factor ligand superfamily member 10","MCnc","Pt","Ser/Plas","Qn","","CHEM"
"CHANGED","101543-7","Tumor necrosis factor ligand superfamily member 10","MCnc","Pt","Ser/Plas/Bld","Qn","","CHEM"
"BEFORE","101591-6","CMS - Identification Information","-","Pt","^Patient","-","CMS Assessment","SURVEY.CMS"
"CHANGED","101591-6","CMS - Identification Information","-","RptPeriod","^Patient","-","CMS Assessment","SURVEY.CMS"
"BEFORE","101592-4","CMS - Cognitive Patterns","-","Pt","^Patient","-","CMS Assessment","SURVEY.CMS"
"CHANGED","101592-4","CMS - Cognitive Patterns","-","RptPeriod","^Patient","-","CMS Assessment","SURVEY.CMS"
"BEFORE","101594-0","CMS - Mood","-","Pt","^Patient","-","CMS Assessment","SURVEY.CMS"
"CHANGED","101594-0","CMS - Mood","-","RptPeriod","^Patient","-","CMS Assessment","SURVEY.CMS"
"BEFORE","101595-7","CMS - Functional Abilities and Goals","-","Pt","^Patient","-","CMS Assessment","SURVEY.CMS"
"CHANGED","101595-7","CMS - Functional Abilities and Goals","-","RptPeriod","^Patient","-","CMS Assessment","SURVEY.CMS"
"BEFORE","101596-5","CMS - Prior functioning: everyday activities","-","Pt","^Patient","-","CMS Assessment","SURVEY.CMS"
"CHANGED","101596-5","CMS - Prior functioning: everyday activities","-","RptPeriod","^Patient","-","CMS Assessment","SURVEY.CMS"
"BEFORE","101597-3","CMS - Tub &or shower transfer - functional goal","Find","Pt","^Patient","Ord","CMS Assessment","SURVEY.CMS"
"CHANGED","101597-3","CMS - Tub &or shower transfer - functional goal","Find","RptPeriod","^Patient","Ord","CMS Assessment","SURVEY.CMS"
"BEFORE","101598-1","CMS - Functional Abilities and Goals - OBRA &or Interim","-","Pt","^Patient","-","CMS Assessment","SURVEY.CMS"
"CHANGED","101598-1","CMS - Functional Abilities and Goals - OBRA &or Interim","-","RptPeriod","^Patient","-","CMS Assessment","SURVEY.CMS"
"BEFORE","101601-3","CMS - Active Diagnoses","-","Pt","^Patient","-","CMS Assessment","SURVEY.CMS"
"CHANGED","101601-3","CMS - Active Diagnoses","-","RptPeriod","^Patient","-","CMS Assessment","SURVEY.CMS"
"BEFORE","101602-1","CMS - Health Conditions","-","Pt","^Patient","-","CMS Assessment","SURVEY.CMS"
"CHANGED","101602-1","CMS - Health Conditions","-","RptPeriod","^Patient","-","CMS Assessment","SURVEY.CMS"
"BEFORE","101604-7","CMS - Swallowing &or Nutritional Status","-","Pt","^Patient","-","CMS Assessment","SURVEY.CMS"
"CHANGED","101604-7","CMS - Swallowing &or Nutritional Status","-","RptPeriod","^Patient","-","CMS Assessment","SURVEY.CMS"
"BEFORE","101606-2","CMS - Oral &or Dental Status","-","Pt","^Patient","-","CMS Assessment","SURVEY.CMS"
"CHANGED","101606-2","CMS - Oral &or Dental Status","-","RptPeriod","^Patient","-","CMS Assessment","SURVEY.CMS"
"BEFORE","101607-0","CMS - Skin Conditions","-","Pt","^Patient","-","CMS Assessment","SURVEY.CMS"
"CHANGED","101607-0","CMS - Skin Conditions","-","RptPeriod","^Patient","-","CMS Assessment","SURVEY.CMS"
"BEFORE","101608-8","CMS - Determination of Pressure Ulcer/Injury Risk","Find","Pt","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"CHANGED","101608-8","CMS - Determination of Pressure Ulcer/Injury Risk","Find","RptPeriod","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"BEFORE","101611-2","CMS - Current number of unhealed pressure injuries at each stage","-","Pt","^Patient","-","CMS Assessment","SURVEY.CMS"
"CHANGED","101611-2","CMS - Current number of unhealed pressure injuries at each stage","-","RptPeriod","^Patient","-","CMS Assessment","SURVEY.CMS"
"BEFORE","101613-8","CMS - Header - Special Treatments, Procedures, and Programs","-","Pt","^Patient","-","CMS Assessment","SURVEY.CMS"
"CHANGED","101613-8","CMS - Header - Special Treatments, Procedures, and Programs","-","RptPeriod","^Patient","-","CMS Assessment","SURVEY.CMS"
"BEFORE","101614-6","CMS - Special Treatments, Procedures, and Programs","-","Pt","^Patient","-","CMS Assessment","SURVEY.CMS"
"CHANGED","101614-6","CMS - Special Treatments, Procedures, and Programs","-","RptPeriod","^Patient","-","CMS Assessment","SURVEY.CMS"
"BEFORE","101615-3","CMS - Header - Participation in Assessment and Goal Setting","-","Pt","^Patient","-","CMS Assessment","SURVEY.CMS"
"CHANGED","101615-3","CMS - Header - Participation in Assessment and Goal Setting","-","RptPeriod","^Patient","-","CMS Assessment","SURVEY.CMS"
"BEFORE","101616-1","CMS - Participation in assessment and goal setting","-","Pt","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"CHANGED","101616-1","CMS - Participation in assessment and goal setting","-","RptPeriod","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"BEFORE","101617-9","CMS - Discharge Plan","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101617-9","CMS - Discharge Plan","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101618-7","CMS - Return to Community","-","Pt","^Patient","-","CMS Assessment","SURVEY.CMS"
"CHANGED","101618-7","CMS - Return to Community","-","RptPeriod","^Patient","-","CMS Assessment","SURVEY.CMS"
"BEFORE","101619-5","CMS - Referral","-","Pt","^Patient","-","CMS Assessment","SURVEY.CMS"
"CHANGED","101619-5","CMS - Referral","-","RptPeriod","^Patient","-","CMS Assessment","SURVEY.CMS"
"BEFORE","101620-3","CMS - Referral has been made to the local contact agency","Find","Pt","Patient education material","Ord","CMS Assessment","SURVEY.CMS"
"CHANGED","101620-3","CMS - Referral has been made to the local contact agency","Find","RptPeriod","Patient education material","Ord","CMS Assessment","SURVEY.CMS"
"BEFORE","101621-1","CMS - Reason referral to local contact agency not made","Find","Pt","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"CHANGED","101621-1","CMS - Reason referral to local contact agency not made","Find","RptPeriod","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"BEFORE","101622-9","CMS - Correction Request","-","Pt","^Patient","-","CMS Assessment","SURVEY.CMS"
"CHANGED","101622-9","CMS - Correction Request","-","RptPeriod","^Patient","-","CMS Assessment","SURVEY.CMS"
"BEFORE","101682-3","T-cell","Find","Pt","Bld/Tiss","Doc","FISH","CELLMARK"
"CHANGED","101682-3","T-cell lymphoma","Find","Pt","Bld/Tiss","Doc","FISH","CELLMARK"
"BEFORE","101699-7","Having strong negative beliefs about yourself, others, or the world?","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"CHANGED","101699-7","Having strong negative beliefs about yourself, others, or the world","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"BEFORE","101700-3","Blaming yourself or someone else for the stressful experience or what happened after it?","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"CHANGED","101700-3","Blaming yourself or someone else for the stressful experience or what happened after it","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"BEFORE","101701-1","Having strong negative feelings such as fear, horror, anger, guilt, or shame?","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"CHANGED","101701-1","Having strong negative feelings such as fear, horror, anger, guilt, or shame","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"BEFORE","101702-9","Taking too many risks or doing things that could cause you harm?","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"CHANGED","101702-9","Taking too many risks or doing things that could cause you harm","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"BEFORE","101703-7","Repeated, disturbing, and unwanted memories of the stressful experience?","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"CHANGED","101703-7","Repeated, disturbing, and unwanted memories of the stressful experience","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"BEFORE","101704-5","Repeated, disturbing dreams of the stressful experience?","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"CHANGED","101704-5","Repeated, disturbing dreams of the stressful experience","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"BEFORE","101705-2","Suddenly feeling or acting as if the stressful experience were actually happening again (as if you were actually back there reliving it)?","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"CHANGED","101705-2","Suddenly feeling or acting as if the stressful experience were actually happening again (as if you were actually back there reliving it)","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"BEFORE","101706-0","Feeling very upset when something reminded you of the stressful experience?","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"CHANGED","101706-0","Feeling very upset when something reminded you of the stressful experience","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"BEFORE","101707-8","Having strong physical reactions when something reminded you of the stressful experience (for example, heart pounding, trouble breathing, sweating)?","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"CHANGED","101707-8","Having strong physical reactions when something reminded you of the stressful experience (for example, heart pounding, trouble breathing, sweating)","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"BEFORE","101708-6","Avoiding memories, thoughts, or feelings related to the stressful experience?","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"CHANGED","101708-6","Avoiding memories, thoughts, or feelings related to the stressful experience","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"BEFORE","101709-4","Avoiding external reminders of the stressful experience (for example, people, places, conversations, activities, objects, or situations)?","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"CHANGED","101709-4","Avoiding external reminders of the stressful experience (for example, people, places, conversations, activities, objects, or situations)","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"BEFORE","101710-2","Trouble remembering important parts of the stressful experience?","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"CHANGED","101710-2","Trouble remembering important parts of the stressful experience","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"BEFORE","101711-0","Loss of interest in activities that you used to enjoy?","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"CHANGED","101711-0","Loss of interest in activities that you used to enjoy","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"BEFORE","101712-8","Feeling distant or cut off from other people?","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"CHANGED","101712-8","Feeling distant or cut off from other people","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"BEFORE","101713-6","Trouble experiencing positive feelings (for example, being unable to feel happiness or have loving feelings for people close to you)?","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"CHANGED","101713-6","Trouble experiencing positive feelings (for example, being unable to feel happiness or have loving feelings for people close to you)","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"BEFORE","101714-4","Irritable behavior, angry outbursts, or acting aggressively?","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"CHANGED","101714-4","Irritable behavior, angry outbursts, or acting aggressively","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"BEFORE","101715-1","Being superalert or watchful or on guard?","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"CHANGED","101715-1","Being superalert or watchful or on guard","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"BEFORE","101716-9","Feeling jumpy or easily startled?","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"CHANGED","101716-9","Feeling jumpy or easily startled","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"BEFORE","101717-7","Having difficulty concentrating?","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"CHANGED","101717-7","Having difficulty concentrating","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"BEFORE","101718-5","Trouble falling or staying asleep?","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"CHANGED","101718-5","Trouble falling or staying asleep","Find","1Mo","^Patient","Ord","PCL-5","SURVEY.MTLHLTH"
"BEFORE","101919-9","Iohexol plasma disappearance panel","-","Pt","Plas","-","","PANEL.CHEM"
"CHANGED","101919-9","Iohexol disappearance panel","-","Pt","Urine+Ser/Plas","-","","PANEL.CHEM"
"BEFORE","101947-0","Cytomegalovirus DNA","PrThr","Pt","Respiratory","Ord","Probe.amp.tar","MICRO"
"CHANGED","101947-0","Cytomegalovirus DNA","PrThr","Pt","Respiratory System Specimen","Ord","Probe.amp.tar","MICRO"
"BEFORE","101955-3","DNA1 gene targeted mutation analysis","Find","Pt","Bld/Tiss","Doc","Molgen","MOLPATH.MUT"
"CHANGED","101955-3","DNAI1 gene targeted mutation analysis","Find","Pt","Bld/Tiss","Doc","Molgen","MOLPATH.MUT"
"BEFORE","101977-7","Cortisol, glucose and somatatropin post glucagon stimulation panel","-","Pt","Ser/Plas","-","","PANEL.CHAL"
"CHANGED","101977-7","Cortisol, glucose and somatotropin post glucagon stimulation panel","-","Pt","Ser/Plas","-","","PANEL.CHAL"
"BEFORE","101991-8","3-hydroxypropyl mercapturic acid","MRto","Pt","Urine","Qn","","CHEM"
"CHANGED","101991-8","3-hydroxypropyl mercapturate","MRto","Pt","Urine","Qn","","CHEM"
"BEFORE","102011-4","Have you experienced a frightening, horrible, or traumatic event?","Find","Lifetime","^Patient","Ord","PC-PTSD-5","SURVEY.MTLHLTH"
